"id","location_id","title","level","exp","gold","raw_response"
"13","9","🦎 Ящер","4","25","3","📋 Страница монстра

🦎 Ящер
🔸 Уровень: 4
🗺 Зона охоты: ⛰ Пещера (🏛 Дранг Гар)

Награда за убийство:
✨ Опыт: 25
💰 Золото: 3

Дроп ресурсов:
❇️ Кожа
🧪 Эликсир здоровья +25% [I]
🧪 Эликсир здоровья +50% [I]
✴️ Дуб
✴️ Кость"
"14","9","🦖 Кобольд","6","33","3","📋 Страница монстра

🦖 Кобольд
🔸 Уровень: 6
🗺 Зона охоты: ⛰ Пещера (🏛 Дранг Гар)

Награда за убийство:
✨ Опыт: 33
💰 Золото: 3

Дроп ресурсов:
⏺ Кованая сталь
❇️ Кожа
👝 Мешок с ресурсами [I]
🧪 Эликсир здоровья +25% [I]"
"15","11","🦤 Падальщик","1","7","2","📋 Страница монстра

🦤 Падальщик
🔸 Уровень: 1
🗺 Зона охоты: ☘️ Фермерские угодья (🏛 Кавелла)

Награда за убийство:
✨ Опыт: 7
💰 Золото: 2

Дроп ресурсов:
❇️ Кожа
🧪 Эликсир здоровья +25% [I]"
"16","11","🪲 Полевой жук","2","13","2","📋 Страница монстра

🪲 Полевой жук
🔸 Уровень: 2
🗺 Зона охоты: ☘️ Фермерские угодья (🏛 Кавелла)

Награда за убийство:
✨ Опыт: 13
💰 Золото: 2

Дроп ресурсов:
🧪 Эликсир здоровья +50% [I]
⏺ Хитин
❇️ Сосна"
"17","11","🐖 Дикий свин","3","20","3","📋 Страница монстра

🐖 Дикий свин
🔸 Уровень: 3
🗺 Зона охоты: ☘️ Фермерские угодья (🏛 Кавелла)

Награда за убийство:
✨ Опыт: 20
💰 Золото: 3

Дроп ресурсов:
🧪 Эликсир здоровья +25% [I]
❇️ Кожа
✴️ Кость"
"18","12","🐸 Водяник","5","25","3","📋 Страница монстра

🐸 Водяник
🔸 Уровень: 5
🗺 Зона охоты: 🪷 Болото (🏛 Кавелла)

Награда за убийство:
✨ Опыт: 25
💰 Золото: 3

Дроп ресурсов:
🧪 Эликсир здоровья +25% [I]
🧪 Эликсир здоровья +50% [I]
✴️ Дуб
❇️ Олово"
"19","12","🦑 Гнилец","6","33","3","📋 Страница монстра

🦑 Гнилец
🔸 Уровень: 6
🗺 Зона охоты: 🪷 Болото (🏛 Кавелла)

Награда за убийство:
✨ Опыт: 33
💰 Золото: 3

Дроп ресурсов:
👝 Мешок с ресурсами [I]
🧪 Эликсир здоровья +25% [I]
❇️ Кожа
❇️ Сосна"
"20","12","🧌 Утопленник","7","45","6","📋 Страница монстра

🧌 Утопленник
🔸 Уровень: 7
🗺 Зона охоты: 🪷 Болото (🏛 Кавелла)

Награда за убийство:
✨ Опыт: 45
💰 Золото: 6

Дроп ресурсов:
🧪 Эликсир здоровья +25% [I]
👝 Мешок с ресурсами [II]
👝 Мешок с ресурсами [I]
⏺ Кованая сталь
✴️ Медь"
"21","3","🐏 Горный Тур","7","35","4","📋 Страница монстра

🐏 Горный Тур
🔸 Уровень: 7
🗺 Зона охоты: 🏔 Перевал (Город Призрак)

Награда за убийство:
✨ Опыт: 35
💰 Золото: 4

Дроп ресурсов:
👝 Мешок с ресурсами [I]
🧪 Эликсир здоровья +25% [I]
🧪 Эликсир здоровья +50% [I]
❇️ Кожа
⏺ Кованая сталь
✴️ Медь"
"22","3","🐵🙉 Стая гоблинов","8","40","4","📋 Страница монстра

🐵🙉 Стая гоблинов
🔸 Уровень: 8
🗺 Зона охоты: 🏔 Перевал (Город Призрак)

Награда за убийство:
✨ Опыт: 40
💰 Золото: 4

Дроп ресурсов:
💚 Личный бонус регенерации 24ч
👝 Мешок с ресурсами [I]
⏺ Кованая сталь
❇️ Олово"
"23","3","🐺 Варг","9","45","4","📋 Страница монстра

🐺 Варг
🔸 Уровень: 9
🗺 Зона охоты: 🏔 Перевал (Город Призрак)

Награда за убийство:
✨ Опыт: 45
💰 Золото: 4

Дроп ресурсов:
✴️ Дуб
✴️ Кость
🧪 Эликсир здоровья +50% [I]
👝 Мешок с ресурсами [I]
⏺ Бук
🔖 Свиток заточки [I]
🧪 Эликсир здоровья +25% [I]"
"24","3","🦍 Тролль","10","70","10","📋 Страница монстра

🦍 Тролль
🔸 Уровень: 10
🗺 Зона охоты: 🏔 Перевал (Город Призрак)

Награда за убийство:
✨ Опыт: 70
💰 Золото: 10

Дроп ресурсов:
📄Рецепт [II]: Изящный доспех
✴️ Кость
🔖 Свиток заточки [II]
👝 Мешок с ресурсами [II]
🎖 Медаль
👝 Мешок с ресурсами [I]
🔖 Свиток заточки [I]
🧪 Эликсир здоровья +25% [II]
💩 Карма
📢 Рупор"
"112","15","🐵 Обезьяна","6","33","3","📋 Страница монстра

🐵 Обезьяна
🔸 Уровень: 6
🗺 Зона охоты: Тайная локация (❄️🕌🏛 Карбарак)

Награда за убийство:
✨ Опыт: 33
💰 Золото: 3

Дроп ресурсов:
🧪 Эликсир здоровья +25% [I]
👝 Мешок с ресурсами [I]
❇️ Олово
⏺ Хитин"
"113","15","🦍 Вожак","7","45","6","📋 Страница монстра

🦍 Вожак
🔸 Уровень: 7
🗺 Зона охоты: Тайная локация (❄️🕌🏛 Карбарак)

Награда за убийство:
✨ Опыт: 45
💰 Золото: 6

Дроп ресурсов:
⏺ Кованая сталь
✴️ Медь
👝 Мешок с ресурсами [II]
👝 Мешок с ресурсами [I]
🔖 Свиток заточки [I]
✴️ Кость"
"114","15","🦇 Крылан","4","25","3","📋 Страница монстра

🦇 Крылан
🔸 Уровень: 4
🗺 Зона охоты: Тайная локация (❄️🕌🏛 Карбарак)

Награда за убийство:
✨ Опыт: 25
💰 Золото: 3

Дроп ресурсов:
🧪 Эликсир здоровья +25% [I]
🔖 Свиток заточки [I]
❇️ Олово"
"115","15","🦋 Ядовитая бабочка","4","25","3","📋 Страница монстра

🦋 Ядовитая бабочка
🔸 Уровень: 4
🗺 Зона охоты: Тайная локация (❄️🕌🏛 Карбарак)

Награда за убийство:
✨ Опыт: 25
💰 Золото: 3

Дроп ресурсов:
🔖 Свиток заточки [I]
🧪 Эликсир здоровья +25% [I]
✴️ Кость
❇️ Сосна"
"116","55","💀 Скелет рабочего","13","65","6","📋 Страница монстра

💀 Скелет рабочего
🔸 Уровень: 13
🗺 Зона охоты: ☠️ Проклятые земли (❄️🏛 Цирта)

Награда за убийство:
✨ Опыт: 65
💰 Золото: 6

Дроп ресурсов:
📄Рецепт [II]: Печать старца
🪱 Часть щупальца
🧬  Особый реагент [Квест]
📄 Рецепт [II]: Ботинки черствости
📄Рецепт [II]: Сандали полета
👝 Мешок с ресурсами [II]
📄 Рецепт [II]: Прошитые ботинки
✴️ Медь
❇️ Олово
⏺ Бук
✴️ Кость
🗺 Знание Цирты"
"117","55","💀 Скелет в доспехах","14","80","6","📋 Страница монстра

💀 Скелет в доспехах
🔸 Уровень: 14
🗺 Зона охоты: ☠️ Проклятые земли (❄️🏛 Цирта)

Награда за убийство:
✨ Опыт: 80
💰 Золото: 6

Дроп ресурсов:
📄Рецепт [II]: Крушитель
📄 Рецепт [II]: Тяжелая кольчуга
📄 Рецепт [II]: Фехтовальные перчатки
🪱 Часть щупальца
🧬  Особый реагент [Квест]
🗺 Знание Цирты
👝 Мешок с ресурсами [II]
🔖 Свиток заточки [II]
⏺ Кованая сталь
✴️ Медь
❇️ Олово
✴️ Кость
⏺ Бук
📄 Рецепт [II]: Быстрые пальцы"
"118","53","👯‍♀️ Одержимые","16","80","6","📋 Страница монстра

👯‍♀️ Одержимые
🔸 Уровень: 16
🗺 Зона охоты: ⛺️ Лагерь фанатиков (❄️🏛 Цирта)

Награда за убийство:
✨ Опыт: 80
💰 Золото: 6

Дроп ресурсов:
📄 Рецепт [II]: Усиленная тарга
🧬  Особый реагент [Квест]
✴️ Медь
❇️ Олово
📄 Рецепт [II]: Тяжелая кольчуга
📄 Рецепт [II]: Массивный панцирь
⏺ Кованая сталь"
"119","53","👯‍♂️ Одержимые","17","85","7","📋 Страница монстра

👯‍♂️ Одержимые
🔸 Уровень: 17
🗺 Зона охоты: ⛺️ Лагерь фанатиков (❄️🏛 Цирта)

Награда за убийство:
✨ Опыт: 85
💰 Золото: 7

Дроп ресурсов:
📄 Рецепт [II]: Шлифованное забрало
⏺ Кованая сталь
📄Рецепт [II]: Крушитель
🧬  Особый реагент [Квест]
📄 Рецепт [II]: Шапо с пером
✴️ Дуб
❇️ Сосна"
"120","53","👲🏾 Глава лагеря","20","110","15","📋 Страница монстра

👲🏾 Глава лагеря
🔸 Уровень: 20
🗺 Зона охоты: ⛺️ Лагерь фанатиков (❄️🏛 Цирта)

Награда за убийство:
✨ Опыт: 110
💰 Золото: 15

Дроп ресурсов:
👝 Мешок с ресурсами [III]
⏺ Кованая сталь
📄Рецепт [II]: Тяжелый клинок
🗺 Знание Цирты
📄Рецепт [II]: Кулон наития
📢 Рупор
🔖 Свиток заточки [III]
📄Рецепт [II]: Кулон стремлений
🧬  Особый реагент [Квест]
👝 Мешок с ресурсами [II]
🎖 Медаль
⚛️ Кровь
⚛️ Титан
✴️ Дуб
❇️ Сосна
📄Рецепт [II]: Походная каска
💩 Карма
⚛️ Амарант"
"121","53","🤯 Камикадзе","18","0","40","📋 Страница монстра

🤯 Камикадзе
🔸 Уровень: 18
🗺 Зона охоты: ⛺️ Лагерь фанатиков (❄️🏛 Цирта)

Награда за убийство:
✨ Опыт: 0
💰 Золото: 40

Дроп ресурсов:
📄Рецепт [II]: Изящный доспех
⚛️ Кровь
❇️ Кожа
⏺ Кованая сталь
❇️ Олово
✴️ Кость"
"122","50","🏹 Лук с заключенной душой","13","60","6","📋 Страница монстра

🏹 Лук с заключенной душой
🔸 Уровень: 13
🗺 Зона охоты: ⚜️ Арсенал под Циртой (❄️🏛 Цирта)

Награда за убийство:
✨ Опыт: 60
💰 Золото: 6

Дроп ресурсов:
📄 Рецепт [II]: Улучшенный акинак
📄Рецепт [II]: Клевец пробоин
📄 Рецепт [II]: Кровавая секира
✴️ Дуб
❇️ Сосна
📄Рецепт [II]: Колье безрассудства"
"123","50","🛡 Щит с заключенной душой","12","60","5","📋 Страница монстра

🛡 Щит с заключенной душой
🔸 Уровень: 12
🗺 Зона охоты: ⚜️ Арсенал под Циртой (❄️🏛 Цирта)

Награда за убийство:
✨ Опыт: 60
💰 Золото: 5

Дроп ресурсов:
📄Рецепт [II]: Ожерелье камней
✴️ Медь
❇️ Олово
📄 Рецепт [II]: Шлифованное забрало
📄 Рецепт [II]: Шапо с пером"
"124","50","⚔️ Клинки с заключенной душой","16","120","12","📋 Страница монстра

⚔️ Клинки с заключенной душой
🔸 Уровень: 16
🗺 Зона охоты: ⚜️ Арсенал под Циртой (❄️🏛 Цирта)

Награда за убийство:
✨ Опыт: 120
💰 Золото: 12

Дроп ресурсов:
📄Рецепт [II]: Кулон стремлений
📢 Рупор
🌟 Личный премиум 24ч
🎖 Медаль
👝 Мешок с ресурсами [II]
🔖 Свиток заточки [II]
⏺ Кованая сталь
✴️ Медь
❇️ Олово
📄Рецепт [II]: Браслеты скорости
🎟 Сертификат cброса параметров
💩 Карма
📄Рецепт [II]: Кулон наития"
"125","50","🧥 Доспехи с заключенной душой","14","65","6","📋 Страница монстра

🧥 Доспехи с заключенной душой
🔸 Уровень: 14
🗺 Зона охоты: ⚜️ Арсенал под Циртой (❄️🏛 Цирта)

Награда за убийство:
✨ Опыт: 65
💰 Золото: 6

Дроп ресурсов:
💚 Личный бонус регенерации 24ч
📄 Рецепт [II]: Рубиновая россыпь
📄 Рецепт [II]: Печать искушения
🔖 Свиток заточки [II]
✴️ Медь
❇️ Олово
📄Рецепт [II]: Походная каска"
"126","54","😨 Невидимка","10","50","5","📋 Страница монстра

😨 Невидимка
🔸 Уровень: 10
🗺 Зона охоты: 🏯 Забытый Дворец (❄️🏛 Цирта)

Награда за убийство:
✨ Опыт: 50
💰 Золото: 5

Дроп ресурсов:
📄Рецепт [II]: Изящный доспех
🗺 Знание Цирты
📄 Рецепт [II]: Прошитые ботинки
📄 Рецепт [II]: Ботинки черствости
🌹 Экстракт розы
✴️ Кость
📄Рецепт [II]: Сандали полета"
"127","54","😱 Банши","12","60","5","📋 Страница монстра

😱 Банши
🔸 Уровень: 12
🗺 Зона охоты: 🏯 Забытый Дворец (❄️🏛 Цирта)

Награда за убийство:
✨ Опыт: 60
💰 Золото: 5

Дроп ресурсов:
📄Рецепт [II]: Малахитовое кольцо
🗺 Знание Цирты
📄 Рецепт [II]: Усиленная тарга
👝 Мешок с ресурсами [II]
🔖 Свиток заточки [II]
✴️ Кость"
"128","54","👻 Полтергейст","13","65","6","📋 Страница монстра

👻 Полтергейст
🔸 Уровень: 13
🗺 Зона охоты: 🏯 Забытый Дворец (❄️🏛 Цирта)

Награда за убийство:
✨ Опыт: 65
💰 Золото: 6

Дроп ресурсов:
📄Рецепт [II]: Браслеты скорости
🗺 Знание Цирты
🎖 Медаль
👝 Мешок с ресурсами [II]
🌹 Экстракт розы
✴️ Кость
🎟 Сертификат смены расы
🔖 Свиток заточки [II]"
"129","54","😰 Призрак ребенка","11","55","5","📋 Страница монстра

😰 Призрак ребенка
🔸 Уровень: 11
🗺 Зона охоты: 🏯 Забытый Дворец (❄️🏛 Цирта)

Награда за убийство:
✨ Опыт: 55
💰 Золото: 5

Дроп ресурсов:
📄 Рецепт [II]: Фехтовальные перчатки
🗺 Знание Цирты
📄Рецепт [II]: Тяжелый клинок
🌹 Экстракт розы
✴️ Кость
📄 Рецепт [II]: Быстрые пальцы
📄 Рецепт [II]: Тяжелые рукавицы
📄 Рецепт [II]: Массивный панцирь
🎟 Сертификат смены ника"
"130","56","🐦🐦🐦 Стая чаек","22","111","9","📋 Страница монстра

🐦🐦🐦 Стая чаек
🔸 Уровень: 22
🗺 Зона охоты: 🛶 Лодочная станция (❄️⚓🏛 Чёртова бухта)

Награда за убийство:
✨ Опыт: 111
💰 Золото: 9

Дроп ресурсов:
📄Рецепт [III]: Древняя булава наития
🔖 Свиток заточки [III]
❇️ Кожа
✴️ Кость"
"131","56","🦅 Орлан серохвостый","25","125","10","📋 Страница монстра

🦅 Орлан серохвостый
🔸 Уровень: 25
🗺 Зона охоты: 🛶 Лодочная станция (❄️⚓🏛 Чёртова бухта)

Награда за убийство:
✨ Опыт: 125
💰 Золото: 10

Дроп ресурсов:
📄Рецепт [III]: Древний метательный нож
📄Рецепт [III]: Древний костяной бердыш
📄Рецепт [III]: Древний скользящий клинок
❇️ Кожа
📄Рецепт [III]: Древняя секира крови
📄Рецепт [III]: Древний щит из стали
📄Рецепт [III]: Древний молот разлома"
"132","56","🐙 Осьминог","25","120","10","📋 Страница монстра

🐙 Осьминог
🔸 Уровень: 25
🗺 Зона охоты: 🛶 Лодочная станция (❄️⚓🏛 Чёртова бухта)

Награда за убийство:
✨ Опыт: 120
💰 Золото: 10

Дроп ресурсов:
📄Рецепт [III]: Древняя булава наития
📄Рецепт [III]: Древний метательный нож
📄Рецепт [III]: Древние топоры авангарда
🔖 Свиток заточки [IV]
📄Рецепт [III]: Древний щит из стали
📄Рецепт [III]: Древний молот разлома"
"133","56","🦐🦐🦐 Стая креветок","22","112","9","📋 Страница монстра

🦐🦐🦐 Стая креветок
🔸 Уровень: 22
🗺 Зона охоты: 🛶 Лодочная станция (❄️⚓🏛 Чёртова бухта)

Награда за убийство:
✨ Опыт: 112
💰 Золото: 9

Дроп ресурсов:
📄Рецепт [III]: Древний метательный нож
📄Рецепт [III]: Древние костяные наручи
📄Рецепт [III]: Древние кровавые перчатки
🔖 Свиток заточки [III]
📄Рецепт [III]: Древний костяной бердыш
📄Рецепт [III]: Древние перчатки авангарда
🧬  Особый реагент [Квест]
📄Рецепт [III]: Древний скользящий клинок
⏺ Хитин
📄Рецепт [III]: Древняя секира крови
📄Рецепт [III]: Древние скользящие перчатки
📄Рецепт [III]: Древние браслеты наития
📄Рецепт [III]: Древний щит из стали
📄Рецепт [III]: Древние стальные перчатки
📄Рецепт [III]: Древние перчатки баланса"
"134","56","🐡  Рыба Фугу","25","135","11","📋 Страница монстра

🐡  Рыба Фугу
🔸 Уровень: 25
🗺 Зона охоты: 🛶 Лодочная станция (❄️⚓🏛 Чёртова бухта)

Награда за убийство:
✨ Опыт: 135
💰 Золото: 11

Дроп ресурсов:
📄Рецепт [III]: Древняя секира крови
📄Рецепт [III]: Древние топоры авангарда
✴️ Кость"
"135","56","🦀 Краб","23","117","9","📋 Страница монстра

🦀 Краб
🔸 Уровень: 23
🗺 Зона охоты: 🛶 Лодочная станция (❄️⚓🏛 Чёртова бухта)

Награда за убийство:
✨ Опыт: 117
💰 Золото: 9

Дроп ресурсов:
📄Рецепт [III]: Древняя булава наития
📄Рецепт [III]: Древний метательный нож
📄Рецепт [III]: Древняя кольчуга авангарда
📄Рецепт [III]: Древний костяной бердыш
📄Рецепт [III]: Древние топоры авангарда
📄Рецепт [III]: Древний кровавый нагрудник
📄Рецепт [III]: Древний панцирь наития
📄Рецепт [III]: Древний щит крови
📄Рецепт [III]: Древний стальной доспех
⏺ Хитин
📄Рецепт [III]: Древний костяной доспех
📄Рецепт [III]: Древний скользящий дублет
📄Рецепт [III]: Древний доспех баланса"
"136","56","🐠 Рыба ангел","23","115","9","📋 Страница монстра

🐠 Рыба ангел
🔸 Уровень: 23
🗺 Зона охоты: 🛶 Лодочная станция (❄️⚓🏛 Чёртова бухта)

Награда за убийство:
✨ Опыт: 115
💰 Золото: 9

Дроп ресурсов:
💚 Личный бонус регенерации 24ч
📄Рецепт [III]: Древний костяной бердыш
🧬  Особый реагент [Квест]
📄Рецепт [III]: Древний щит крови
✴️ Кость
📄Рецепт [III]: Древний щит из стали
📄Рецепт [III]: Древний молот разлома"
"137","56","🐟 Морской окунь","24","120","9","📋 Страница монстра

🐟 Морской окунь
🔸 Уровень: 24
🗺 Зона охоты: 🛶 Лодочная станция (❄️⚓🏛 Чёртова бухта)

Награда за убийство:
✨ Опыт: 120
💰 Золото: 9

Дроп ресурсов:
📄Рецепт [III]: Древние костяные сапоги
📄Рецепт [III]: Древние кровавые сапоги
📄Рецепт [III]: Древние топоры авангарда
📄Рецепт [III]: Древние стальные сапоги
🧬  Особый реагент [Квест]
📄Рецепт [III]: Древний скользящий клинок
📄Рецепт [III]: Древние сапоги баланса
📄Рецепт [III]: Древние ботинки наития
✴️ Кость
📄Рецепт [III]: Древние ботинки авангарда
📄Рецепт [III]: Древний молот разлома
📄Рецепт [III]: Древние скользящие пулены"
"138","40","🐬🐬🐬 Стая дельфинов","28","140","19","📋 Страница монстра

🐬🐬🐬 Стая дельфинов
🔸 Уровень: 28
🗺 Зона охоты: 🌊 Суровые воды (🚢🏛 Северный порт)

Награда за убийство:
✨ Опыт: 140
💰 Золото: 19

Дроп ресурсов:
🪱 Часть щупальца
🔖 Свиток заточки [III]
⚛️ Кровь
❇️ Кожа
✴️ Кость"
"139","56","🐢 Большая черепаха","25","130","11","📋 Страница монстра

🐢 Большая черепаха
🔸 Уровень: 25
🗺 Зона охоты: 🛶 Лодочная станция (❄️⚓🏛 Чёртова бухта)

Награда за убийство:
✨ Опыт: 130
💰 Золото: 11

Дроп ресурсов:
📄Рецепт [III]: Древняя секира крови
📄Рецепт [III]: Древняя булава наития
📄Рецепт [III]: Древняя кольчуга авангарда
⚛️ Амарант
📄Рецепт [III]: Древний кровавый нагрудник
📄Рецепт [III]: Древний панцирь наития
📄Рецепт [III]: Древний щит крови
📄Рецепт [III]: Древний скользящий клинок
📄Рецепт [III]: Древний стальной доспех
⏺ Хитин
❇️ Кожа
✴️ Кость
📄Рецепт [III]: Древний костяной доспех
📄Рецепт [III]: Древний скользящий дублет
📄Рецепт [III]: Древний доспех баланса"
"140","40","🐋 Серый кит","29","180","19","📋 Страница монстра

🐋 Серый кит
🔸 Уровень: 29
🗺 Зона охоты: 🌊 Суровые воды (🚢🏛 Северный порт)

Награда за убийство:
✨ Опыт: 180
💰 Золото: 19

Дроп ресурсов:
⚛️ Кровь
🔖 Свиток заточки [III]
📄Рецепт [III]: Ледяное кольцо жреца
🪱 Часть щупальца
📢 Рупор
📄Рецепт [III]: Ледяной перстень изменника
🦴Кость кита
🎖 Медаль
🐋Мясо кита
❇️ Кожа
✴️ Кость
📄Рецепт [III]: Ледяная печать жреца
💩 Карма
⚛️ Титан
📄Рецепт [III]: Ледяное кольцо изменника"
"141","40","🐳 Синий кит","29","180","19","📋 Страница монстра

🐳 Синий кит
🔸 Уровень: 29
🗺 Зона охоты: 🌊 Суровые воды (🚢🏛 Северный порт)

Награда за убийство:
✨ Опыт: 180
💰 Золото: 19

Дроп ресурсов:
⚛️ Кровь
📄Рецепт [III]: Ледяная печать стража
🪱 Часть щупальца
🔖 Свиток заточки [III]
📢 Рупор
📄Рецепт [III]: Ледяной перстень провидца
🦴Кость кита
🎖 Медаль
🐋Мясо кита
❇️ Кожа
✴️ Кость
📄Рецепт [III]: Ледяное кольцо стража
💩 Карма
📄Рецепт [III]: Ледяное кольцо провидца"
"142","40","🦈 Мегалодон","29","180","19","📋 Страница монстра

🦈 Мегалодон
🔸 Уровень: 29
🗺 Зона охоты: 🌊 Суровые воды (🚢🏛 Северный порт)

Награда за убийство:
✨ Опыт: 180
💰 Золото: 19

Дроп экипировки:
📿 Amulet of Sea Water [III+]
📿 Amulet of Sea Depths [III+]
📿 Tsunami Amulet [III+]
📿 Amulet Waves [III+]

Дроп ресурсов:
⚛️ Титан
🎖 Медаль
🪱 Часть щупальца
🔖 Свиток заточки [III]
📢 Рупор
⚛️ Кровь
🦴Кость кита
💚 Личный бонус регенерации 3ч
🐋Мясо кита
❇️ Кожа
✴️ Кость
🔖 Свиток заточки [IV]
💩 Карма"
"143","56","🐚 Морская раковина","25","200","70","📋 Страница монстра

🐚 Морская раковина
🔸 Уровень: 25
🗺 Зона охоты: 🛶 Лодочная станция (❄️⚓🏛 Чёртова бухта)

Награда за убийство:
✨ Опыт: 200
💰 Золото: 70

Дроп ресурсов:
🛑 Философский камень
💰 Котомка с золотом (250)
🍪 Печенька
⏺ Кованая сталь
⏺ Хитин
⚛️ Амарант
📄Рецепт [III]: Древняя кольчуга авангарда
⚛️ Титан
⚛️ Кровь
✴️ Кость
💚 Личный бонус регенерации 3ч
💟 Талант - Закалка
💟 Талант - Блестящие латы
📄Рецепт [III]: Древний кровавый нагрудник
📄Рецепт [III]: Древний панцирь наития
🥪 Бутерброд [III] - 24ч
📄Рецепт [III]: Древний щит крови
📄Рецепт [III]: Древний стальной доспех
📄Рецепт [III]: Древний костяной доспех
📄Рецепт [III]: Древний скользящий дублет
📄Рецепт [III]: Древний доспех баланса"
"144","57","🦇 Летучая мышь","23","115","10","📋 Страница монстра

🦇 Летучая мышь
🔸 Уровень: 23
🗺 Зона охоты: 🗼 Маяк (❄️⚓🏛 Чёртова бухта)

Награда за убийство:
✨ Опыт: 115
💰 Золото: 10

Дроп ресурсов:
📄Рецепт [III]: Древний шлем баланса
📄Рецепт [III]: Древний скользящий шлем
👝 Мешок с ампулами
🪱 Часть щупальца
📄Рецепт [III]: Древний костяной шлем
👝 Мешок с ресурсами [III]
❇️ Кожа
✴️ Кость
📄Рецепт [III]: Древний шлем наития
📄Рецепт [III]: Древний стальной шлем
📄Рецепт [III]: Древний кровавый шлем
📄Рецепт [III]: Древняя каска авангарда"
"145","58","🐟🐟🐟 Косяк окуней","26","120","11","📋 Страница монстра

🐟🐟🐟 Косяк окуней
🔸 Уровень: 26
🗺 Зона охоты: 🎣 Морской причал (❄️⚓🏛 Чёртова бухта)

Награда за убийство:
✨ Опыт: 120
💰 Золото: 11

Дроп ресурсов:
⚛️ Кровь
🔖 Свиток заточки [III]
❇️ Кожа
💰 Мешок с золотом (600)"
