"id","title","normalized_title","type","subtype","grade","rarity","durability_max","is_personal","is_event","price","extra","description","raw_response"
"14","🔪 Молот [I]","молот","оружие","одноручный молот","I","редкая","10","0","0","5","Бонусы предмета:
· 🗡 Атака: 11 [🔻️592]
· ❤️ Здоровье: 35 [➕️35]
· 🥊 Крит: [🔻️420]
· 💥 Сила крита: [🔻️70]
Требования для ношения:
· ✊ Сила: 5
· ♥️ Выносливость: 7","Им можно забивать не только гвозди, но и всё остальное, что попадётся под горячую руку.","📋 Страница экипировки

🔪 Молот [I] :

Им можно забивать не только гвозди, но и всё остальное, что попадётся под горячую руку.

❇️ Тип предмета: 🔪 Оружие
📏 Тип оружия: Одноручный молот
☢️ Грейд: [I]
💎 Редкость: Редкая

Бонусы предмета:
· 🗡 Атака: 11 [🔻️592]
· ❤️ Здоровье: 35 [➕️35]
· 🥊 Крит: [🔻️420]
· 💥 Сила крита: [🔻️70]

Требования для ношения:
· ✊ Сила: 5
· ♥️ Выносливость: 7

⚙️ Максимальная прочность: 10


💰 Цена продажи:5"
"15","🔪 Боевой топор [I]","боевой топор","оружие","одноручный топор","I","редкая","10","0","0","50","Бонусы предмета:
· 🗡 Атака: 7 [🔻️596]
· ⚡️ Уворот: 13 [➕️13]
· 🥊 Крит: [🔻️420]
· 💥 Сила крита: [🔻️70]
Требования для ношения:
· ✊ Сила: 5
· ♥️ Выносливость: 5
· 💫 Ловкость: 10 🔻","Устаревшее","📋 Страница экипировки

🔪 Боевой топор [I] :

Устаревшее

❇️ Тип предмета: 🔪 Оружие
📏 Тип оружия: Одноручный топор
☢️ Грейд: [I]
💎 Редкость: Редкая

Бонусы предмета:
· 🗡 Атака: 7 [🔻️596]
· ⚡️ Уворот: 13 [➕️13]
· 🥊 Крит: [🔻️420]
· 💥 Сила крита: [🔻️70]

Требования для ношения:
· ✊ Сила: 5
· ♥️ Выносливость: 5
· 💫 Ловкость: 10 🔻

⚙️ Максимальная прочность: 10


💰 Цена продажи:50"
"17","🎩 Соломенная шляпа [I]","соломенная шляпа","шлем",NULL,"I","обычная","10","0","0","3","Бонусы предмета:
· ❤️ Здоровье: 8 [🔻️513]
· 🔰 Защита: 1 [🔻️71]
· 🥊 Крит: [🔻️616]
· 👁 Предвидение: [🔻️256]
· 🎯 Точность: [🔻️230]
Требования для ношения:
· ✊ Сила: 3","Спасёт вас разве что от пекла и надоедливых солнечных зайчиков.","📋 Страница экипировки

🎩 Соломенная шляпа [I] :

Спасёт вас разве что от пекла и надоедливых солнечных зайчиков.

❇️ Тип предмета: 🎩 Шлем
☢️ Грейд: [I]
💎 Редкость: Обычная

Бонусы предмета:
· ❤️ Здоровье: 8 [🔻️513]
· 🔰 Защита: 1 [🔻️71]
· 🥊 Крит: [🔻️616]
· 👁 Предвидение: [🔻️256]
· 🎯 Точность: [🔻️230]

Требования для ношения:
· ✊ Сила: 3

⚙️ Максимальная прочность: 10


💰 Цена продажи:3"
"18","🎩 Деревенская шапка [I]","деревенская шапка","шлем",NULL,"I","обычная","10","0","0","4","Бонусы предмета:
· 🔰 Защита: 5 [🔻️67]
· ❤️ Здоровье: [🔻️521]
· 🥊 Крит: [🔻️616]
· 👁 Предвидение: [🔻️256]
· 🎯 Точность: [🔻️230]
Требования для ношения:
· ♥️ Выносливость: 3","Ушанка","📋 Страница экипировки

🎩 Деревенская шапка [I] :

Ушанка

❇️ Тип предмета: 🎩 Шлем
☢️ Грейд: [I]
💎 Редкость: Обычная

Бонусы предмета:
· 🔰 Защита: 5 [🔻️67]
· ❤️ Здоровье: [🔻️521]
· 🥊 Крит: [🔻️616]
· 👁 Предвидение: [🔻️256]
· 🎯 Точность: [🔻️230]

Требования для ношения:
· ♥️ Выносливость: 3

⚙️ Максимальная прочность: 10


💰 Цена продажи:4"
"19","🎽 Льняная рубаха [I]","льняная рубаха","доспех",NULL,"I","обычная","10","0","0","2","Бонусы предмета:
· ❤️ Здоровье: 10 [🔻️1728]
· 🔰 Защита: 3 [🔻️297]
· 🥊 Крит: [🔻️1061]
· 👁 Предвидение: [🔻️363]
· 🎯 Точность: [🔻️462]","Натуральная. Дышит.","📋 Страница экипировки

🎽 Льняная рубаха [I] :

Натуральная. Дышит.

❇️ Тип предмета: 🎽 Доспех
☢️ Грейд: [I]
💎 Редкость: Обычная

Бонусы предмета:
· ❤️ Здоровье: 10 [🔻️1728]
· 🔰 Защита: 3 [🔻️297]
· 🥊 Крит: [🔻️1061]
· 👁 Предвидение: [🔻️363]
· 🎯 Точность: [🔻️462]

⚙️ Максимальная прочность: 10


💰 Цена продажи:2"
"20","🎽 Роба [I]","роба","доспех",NULL,"I","обычная","10","0","0","50","Бонусы предмета:
· ❤️ Здоровье: 10 [🔻️1728]
· 🔰 Защита: 5 [🔻️295]
· 🥊 Крит: 10 [🔻️1051]
· 💥 Сила крита: 1 [➕️1]
· 👁 Предвидение: [🔻️363]
· 🎯 Точность: [🔻️462]
Требования для ношения:
· ✊ Сила: 5
· ♥️ Выносливость: 5
· 🧿 Интуиция: 10","Устаревшее","📋 Страница экипировки

🎽 Роба [I] :

Устаревшее

❇️ Тип предмета: 🎽 Доспех
☢️ Грейд: [I]
💎 Редкость: Обычная

Бонусы предмета:
· ❤️ Здоровье: 10 [🔻️1728]
· 🔰 Защита: 5 [🔻️295]
· 🥊 Крит: 10 [🔻️1051]
· 💥 Сила крита: 1 [➕️1]
· 👁 Предвидение: [🔻️363]
· 🎯 Точность: [🔻️462]

Требования для ношения:
· ✊ Сила: 5
· ♥️ Выносливость: 5
· 🧿 Интуиция: 10

⚙️ Максимальная прочность: 10


💰 Цена продажи:50"
"21","🎽 Кожаный дублет [I]","кожаный дублет","доспех",NULL,"I","обычная","10","0","0","50","Бонусы предмета:
· ❤️ Здоровье: 10 [🔻️1728]
· 🔰 Защита: 3 [🔻️297]
· ⚡️ Уворот: 10 [➕️10]
· 🤺 Контрудар: 1 [➕️1]
· 🥊 Крит: [🔻️1061]
· 👁 Предвидение: [🔻️363]
· 🎯 Точность: [🔻️462]
Требования для ношения:
· ✊ Сила: 4
· ♥️ Выносливость: 5
· 💫 Ловкость: 10 🔻","Устаревшее","📋 Страница экипировки

🎽 Кожаный дублет [I] :

Устаревшее

❇️ Тип предмета: 🎽 Доспех
☢️ Грейд: [I]
💎 Редкость: Обычная

Бонусы предмета:
· ❤️ Здоровье: 10 [🔻️1728]
· 🔰 Защита: 3 [🔻️297]
· ⚡️ Уворот: 10 [➕️10]
· 🤺 Контрудар: 1 [➕️1]
· 🥊 Крит: [🔻️1061]
· 👁 Предвидение: [🔻️363]
· 🎯 Точность: [🔻️462]

Требования для ношения:
· ✊ Сила: 4
· ♥️ Выносливость: 5
· 💫 Ловкость: 10 🔻

⚙️ Максимальная прочность: 10


💰 Цена продажи:50"
"22","🎽 Фуфайка [I]","фуфайка","доспех",NULL,"I","обычная","10","0","0","7","Бонусы предмета:
· ❤️ Здоровье: 20 [🔻️1718]
· 🔰 Защита: 10 [🔻️290]
· 🥊 Крит: [🔻️1061]
· 👁 Предвидение: [🔻️363]
· 🎯 Точность: [🔻️462]
Требования для ношения:
· ✊ Сила: 8
· ♥️ Выносливость: 10","В ней тепло и уютно. Главный плюс - по вам слабее попадают, потому что считают вас больше.","📋 Страница экипировки

🎽 Фуфайка [I] :

В ней тепло и уютно. Главный плюс - по вам слабее попадают, потому что считают вас больше.

❇️ Тип предмета: 🎽 Доспех
☢️ Грейд: [I]
💎 Редкость: Обычная

Бонусы предмета:
· ❤️ Здоровье: 20 [🔻️1718]
· 🔰 Защита: 10 [🔻️290]
· 🥊 Крит: [🔻️1061]
· 👁 Предвидение: [🔻️363]
· 🎯 Точность: [🔻️462]

Требования для ношения:
· ✊ Сила: 8
· ♥️ Выносливость: 10

⚙️ Максимальная прочность: 10


💰 Цена продажи:7"
"23","🧤 Варежки [I]","варежки","перчатки",NULL,"I","обычная","10","0","0","2","Бонусы предмета:
· 🔰 Защита: 1 [🔻️91]
· ⚡️ Уворот: 45 [➕️45]
· ❤️ Здоровье: [🔻️635]
· 🥊 Крит: [🔻️601]
· 👁 Предвидение: [🔻️288]
· 🎯 Точность: [🔻️277]","Пальцы вместе и в тепле.","📋 Страница экипировки

🧤 Варежки [I] :

Пальцы вместе и в тепле.

❇️ Тип предмета: 🧤 Перчатки
☢️ Грейд: [I]
💎 Редкость: Обычная

Бонусы предмета:
· 🔰 Защита: 1 [🔻️91]
· ⚡️ Уворот: 45 [➕️45]
· ❤️ Здоровье: [🔻️635]
· 🥊 Крит: [🔻️601]
· 👁 Предвидение: [🔻️288]
· 🎯 Точность: [🔻️277]

⚙️ Максимальная прочность: 10


💰 Цена продажи:2"
"24","🧤 Кожаные перчатки [I]","кожаные перчатки","перчатки",NULL,"I","обычная","10","0","0","5","Бонусы предмета:
· ❤️ Здоровье: 12 [🔻️623]
· 🔰 Защита: 4 [🔻️88]
· 🥊 Крит: [🔻️601]
· 👁 Предвидение: [🔻️288]
· 🎯 Точность: [🔻️277]","Защищают ваши руки, не сковывая пальцы. Стильно выглядят.","📋 Страница экипировки

🧤 Кожаные перчатки [I] :

Защищают ваши руки, не сковывая пальцы. Стильно выглядят.

❇️ Тип предмета: 🧤 Перчатки
☢️ Грейд: [I]
💎 Редкость: Обычная

Бонусы предмета:
· ❤️ Здоровье: 12 [🔻️623]
· 🔰 Защита: 4 [🔻️88]
· 🥊 Крит: [🔻️601]
· 👁 Предвидение: [🔻️288]
· 🎯 Точность: [🔻️277]

⚙️ Максимальная прочность: 10


💰 Цена продажи:5"
"25","🥾 Калоши [I]","калоши","сапоги",NULL,"I","обычная","10","0","0","2","Бонусы предмета:
· ❤️ Здоровье: 5 [🔻️630]
· 🔰 Защита: 3 [🔻️89]
· 🏃🏻‍♂️ Скорость: 3/минуту [➕️3]
· 🥊 Крит: [🔻️601]
· 👁 Предвидение: [🔻️288]
· 🎯 Точность: [🔻️277]
Требования для ношения:
· ✊ Сила: 3
· ♥️ Выносливость: 3","Не промокают","📋 Страница экипировки

🥾 Калоши [I] :

Не промокают

❇️ Тип предмета: 🥾 Сапоги
☢️ Грейд: [I]
💎 Редкость: Обычная

Бонусы предмета:
· ❤️ Здоровье: 5 [🔻️630]
· 🔰 Защита: 3 [🔻️89]
· 🏃🏻‍♂️ Скорость: 3/минуту [➕️3]
· 🥊 Крит: [🔻️601]
· 👁 Предвидение: [🔻️288]
· 🎯 Точность: [🔻️277]

Требования для ношения:
· ✊ Сила: 3
· ♥️ Выносливость: 3

⚙️ Максимальная прочность: 10


💰 Цена продажи:2"
"26","🥾 Потёртые сапоги [I]","потёртые сапоги","сапоги",NULL,"I","обычная","10","0","0","5","Бонусы предмета:
· 🔰 Защита: 4 [🔻️88]
· 👁 Предвидение: 2 [🔻️286]
· 🎯 Точность: 2 [🔻️275]
· 🏃🏻‍♂️ Скорость: 5/минуту [➕️5]
· ❤️ Здоровье: [🔻️635]
· 🥊 Крит: [🔻️601]
Требования для ношения:
· ✊ Сила: 7
· ♥️ Выносливость: 7","Прилавок завален большим количеством сапог разной степени потертости. Интересно откуда у торговца столько ношеной обуви?","📋 Страница экипировки

🥾 Потёртые сапоги [I] :

Прилавок завален большим количеством сапог разной степени потертости. Интересно откуда у торговца столько ношеной обуви?

❇️ Тип предмета: 🥾 Сапоги
☢️ Грейд: [I]
💎 Редкость: Обычная

Бонусы предмета:
· 🔰 Защита: 4 [🔻️88]
· 👁 Предвидение: 2 [🔻️286]
· 🎯 Точность: 2 [🔻️275]
· 🏃🏻‍♂️ Скорость: 5/минуту [➕️5]
· ❤️ Здоровье: [🔻️635]
· 🥊 Крит: [🔻️601]

Требования для ношения:
· ✊ Сила: 7
· ♥️ Выносливость: 7

⚙️ Максимальная прочность: 10


💰 Цена продажи:5"
"27","🥾 Поношенные ботинки [I]","поношенные ботинки","сапоги",NULL,"I","обычная","10","0","0","5","Бонусы предмета:
· 🔰 Защита: 2 [🔻️90]
· 🥊 Крит: 75 [🔻️526]
· ⚡️ Уворот: 75 [➕️75]
· 🏃🏻‍♂️ Скорость: 5/минуту [➕️5]
· ❤️ Здоровье: [🔻️635]
· 👁 Предвидение: [🔻️288]
· 🎯 Точность: [🔻️277]","Прилавок завален большим количеством обуви разной степени потертости. Интересно откуда у торговца столько ношеных ботинок?","📋 Страница экипировки

🥾 Поношенные ботинки [I] :

Прилавок завален большим количеством обуви разной степени потертости. Интересно откуда у торговца столько ношеных ботинок?

❇️ Тип предмета: 🥾 Сапоги
☢️ Грейд: [I]
💎 Редкость: Обычная

Бонусы предмета:
· 🔰 Защита: 2 [🔻️90]
· 🥊 Крит: 75 [🔻️526]
· ⚡️ Уворот: 75 [➕️75]
· 🏃🏻‍♂️ Скорость: 5/минуту [➕️5]
· ❤️ Здоровье: [🔻️635]
· 👁 Предвидение: [🔻️288]
· 🎯 Точность: [🔻️277]

⚙️ Максимальная прочность: 10


💰 Цена продажи:5"
"28","🛡 Тренировочный щит [I]","тренировочный щит","щит",NULL,"I","обычная","20","0","0","7","Бонусы предмета:
· ❤️ Здоровье: 10
· 🔰 Защита: 4
· 👁 Предвидение: 6
· 🎯 Точность: 6
Требования для ношения:
· ✊ Сила: 8
· ♥️ Выносливость: 7","Лучше использовать его, чем дно от бочки.","📋 Страница экипировки

🛡 Тренировочный щит [I] :

Лучше использовать его, чем дно от бочки.

❇️ Тип предмета: 🛡 Щит
☢️ Грейд: [I]
💎 Редкость: Обычная

Бонусы предмета:
· ❤️ Здоровье: 10 
· 🔰 Защита: 4 
· 👁 Предвидение: 6 
· 🎯 Точность: 6 

Требования для ношения:
· ✊ Сила: 8
· ♥️ Выносливость: 7

⚙️ Максимальная прочность: 20


💰 Цена продажи:7"
"29","📿 Старинные бусы [I]","старинные бусы","колье",NULL,"I","обычная","10","0","0","20","Бонусы предмета:
· ❤️ Здоровье: 5 [➕️5]
· 🥊 Крит: 30 [🔻️270]
· ⚡️ Уворот: 30 [➕️30]
· 💥 Сила крита: [🔻️7]
· 👁 Предвидение: [🔻️164]
· 🎯 Точность: [🔻️124]
Требования для ношения:
· ♥️ Выносливость: 4
· 💫 Ловкость: 6 🔻
· 🧿 Интуиция: 6","Устаревшее","📋 Страница экипировки

📿 Старинные бусы [I] :

Устаревшее

❇️ Тип предмета: 📿 Колье
☢️ Грейд: [I]
💎 Редкость: Обычная

Бонусы предмета:
· ❤️ Здоровье: 5 [➕️5]
· 🥊 Крит: 30 [🔻️270]
· ⚡️ Уворот: 30 [➕️30]
· 💥 Сила крита: [🔻️7]
· 👁 Предвидение: [🔻️164]
· 🎯 Точность: [🔻️124]

Требования для ношения:
· ♥️ Выносливость: 4
· 💫 Ловкость: 6 🔻
· 🧿 Интуиция: 6

⚙️ Максимальная прочность: 10


💰 Цена продажи:20"
"32","🎩 Ржавая каска [I]","ржавая каска","шлем",NULL,"I","обычная","10","0","0","5","Бонусы предмета:
· ❤️ Здоровье: 6 [🔻️515]
· 🔰 Защита: 6 [🔻️66]
· 🥊 Крит: [🔻️616]
· 👁 Предвидение: [🔻️256]
· 🎯 Точность: [🔻️230]
Требования для ношения:
· ✊ Сила: 3
· ♥️ Выносливость: 3","Отличный выбор для начинающего, подойдет на первое время.","📋 Страница экипировки

🎩 Ржавая каска [I] :

Отличный выбор для начинающего, подойдет на первое время.

❇️ Тип предмета: 🎩 Шлем
☢️ Грейд: [I]
💎 Редкость: Обычная

Бонусы предмета:
· ❤️ Здоровье: 6 [🔻️515]
· 🔰 Защита: 6 [🔻️66]
· 🥊 Крит: [🔻️616]
· 👁 Предвидение: [🔻️256]
· 🎯 Точность: [🔻️230]

Требования для ношения:
· ✊ Сила: 3
· ♥️ Выносливость: 3

⚙️ Максимальная прочность: 10


💰 Цена продажи:5"
"59","🔪 Чекан [III]","чекан","оружие","одноручный топор","III","обычная","35","0","0","47","Бонусы предмета:
· 🗡 Атака: 103 [🔻️500]
· ❤️ Здоровье: 162 [➕️162]
· 🥊 Крит: 323 [🔻️97]
· 💥 Сила крита: 30 [🔻️40]
· 👁 Предвидение: 28 [➕️28]
· 🎯 Точность: 28 [➕️28]
Требования для ношения:
· ✊ Сила: 15
· ♥️ Выносливость: 15
· 🧿 Интуиция: 30","Предмет из магазина 💰Торговца Тревора","📋 Страница экипировки

🔪 Чекан [III] :

Предмет из магазина 💰Торговца Тревора

❇️ Тип предмета: 🔪 Оружие
📏 Тип оружия: Одноручный топор
☢️ Грейд: [III]
💎 Редкость: Обычная

Бонусы предмета:
· 🗡 Атака: 103 [🔻️500]
· ❤️ Здоровье: 162 [➕️162]
· 🥊 Крит: 323 [🔻️97]
· 💥 Сила крита: 30 [🔻️40]
· 👁 Предвидение: 28 [➕️28]
· 🎯 Точность: 28 [➕️28]

Требования для ношения:
· ✊ Сила: 15
· ♥️ Выносливость: 15
· 🧿 Интуиция: 30

⚙️ Максимальная прочность: 35


💰 Цена продажи:47"
"60","🎩 Темный бацинет [III]","темный бацинет","шлем",NULL,"III","обычная","30","0","0","41","Бонусы предмета:
· ❤️ Здоровье: 123 [🔻️398]
· 🔰 Защита: 23 [🔻️49]
· 🥊 Крит: 172 [🔻️444]
· 👁 Предвидение: 80 [🔻️176]
· 🎯 Точность: 75 [🔻️155]
Требования для ношения:
· ✊ Сила: 15
· ♥️ Выносливость: 15
· 🧿 Интуиция: 30","Предмет из магазина 💰Торговца Тревора","📋 Страница экипировки

🎩 Темный бацинет [III] :

Предмет из магазина 💰Торговца Тревора

❇️ Тип предмета: 🎩 Шлем
☢️ Грейд: [III]
💎 Редкость: Обычная

Бонусы предмета:
· ❤️ Здоровье: 123 [🔻️398]
· 🔰 Защита: 23 [🔻️49]
· 🥊 Крит: 172 [🔻️444]
· 👁 Предвидение: 80 [🔻️176]
· 🎯 Точность: 75 [🔻️155]

Требования для ношения:
· ✊ Сила: 15
· ♥️ Выносливость: 15
· 🧿 Интуиция: 30

⚙️ Максимальная прочность: 30


💰 Цена продажи:41"
