normalized_name,type,currency,median_price,min_price,max_price,sample_count
массивный панцирь [ii],sell,gold,5000,5000,5000,374
павеза пурги [iii+] +5,sell,gold,25000,25000,25000,374
панцирные сапоги фракийца [iv] +8,sell,cookie,650,650,650,374
прошитые ботинки [ii],sell,gold,2500,1500,2500,374
улучшенный акинак [ii] +6,sell,gold,14000,14000,14000,374
улучшенный акинак [ii] +7,sell,gold,22000,22000,22000,374
фехтовальные перчатки [ii],sell,gold,3500,3500,3500,374
фехтовальные перчатки [ii] +5,sell,gold,11000,11000,11000,374
фехтовальные перчатки [ii] +6,sell,gold,16000,16000,16000,374
чекан маржаны [iii+] +6,sell,gold,36000,36000,36000,374
зелье добытчика [iv],buy,gold,150,150,150,373
олово,buy,gold,10,5,20,352
богатство торговца,buy,gold,200,100,200,350
крылья [i] +4,sell,gold,25000,19000,27000,349
"печенье, печи",sell,gold,450,450,450,349
лук подмастерья,sell,gold,420,400,500,347
мотыга подмастерья,sell,gold,240,200,300,347
удочка подмастерья,sell,gold,240,200,300,347
безопасный свиток заточки [ii],buy,gold,600,500,600,345
бутерброд [iii] - 24ч,buy,gold,600,600,800,343
кавельский чеснок,buy,gold,55,25,100,341
биоток,sell,gold,155,135,155,340
‍ внешний вид: воины севера,sell,cookie,60,50,100,337
дрангарская морковь,buy,gold,45,25,70,333
кусок мяса,buy,gold,60,25,80,332
морской циртец,buy,gold,410,320,520,331
инкрустированный пояс [i],sell,gold,4000,3000,5000,312
амулет оракула [iv],sell,cookie,600,500,600,306
зелье [iv] +4 (1 ч),buy,gold,50,50,80,303
биоток,buy,gold,110,100,120,298
rhino dissent bracers [iii] +3,sell,gold,13000,13000,13000,297
секира пурги [iii+] +3,sell,gold,7500,6000,7500,297
amulet waves [iii+] +3,sell,gold,8000,7000,8000,296
сосна,buy,gold,8,4,20,292
аксессуар материи [ii],buy,gold,800,800,800,290
гладиус метели [iii+] +3,sell,gold,7500,7500,7500,290
глефа маржаны [iii+] +3,sell,gold,7500,7500,7500,290
древняя секира крови [iii] +3,sell,gold,3800,3800,3800,290
зелье [ii] +2 инт. (1 ч),buy,gold,100,100,200,290
кельт вьюги [iii+] +3,sell,gold,7500,7500,7500,290
павеза пурги [iii+] +3,sell,gold,7200,7200,7200,290
парные кинжалы метели [iii+] +3,sell,gold,7500,7500,7500,290
парные рондели метели [iii+] +3,sell,gold,7500,7500,7500,290
свиток заточки [ll],buy,gold,40,40,50,290
скипетр [i] - (рассмотрю любые предложения),buy,cookie,250,250,250,290
южный перец - /шт.,buy,gold,100,100,125,289
скипетр [i],buy,cookie,250,250,300,286
лук мастера,sell,gold,2000,1600,2000,280
‍ внешний вид: тыквенная голова,sell,cookie,200,75,200,280
инкрустированный пояс [i] +1 - (новый),sell,gold,4500,4500,4500,279
аквельский лук,buy,gold,55,40,55,277
закалка,buy,gold,2000,2000,2500,268
кованная сталь,buy,gold,6,6,12,268
ожерелье баала,sell,cookie,1250,1200,1250,265
нагрудники,buy,gold,150,150,150,264
ожерелья,buy,gold,215,215,250,264
"талант - потрошитель [ивент] - 25шт - /шт (если возьмете сразу все, то /шт, т.е. за все)",sell,gold,5000,5000,5000,264
аккумулятор тьмы,sell,cookie,1500,1500,1500,256
бутерброд 7 дней,sell,gold,3400,3200,3400,256
материя [ii] или материал материи - 250/,buy,gold,200,200,200,256
шлемы от 10шт,buy,gold,30,30,30,256
чекан маржаны [iii+] +3,sell,gold,8200,8200,8200,253
карбарась -/шт,buy,gold,40,40,60,252
философ камень,buy,gold,95,95,150,250
бутерброд [iii]24ч,buy,gold,650,650,650,249
зелье т2 любые,buy,gold,80,80,80,249
моментальная лотерея,buy,gold,400,400,500,248
кирка мастера,sell,gold,1250,1200,1250,247
мотыга мастера,sell,gold,500,400,600,247
удочка мастера,sell,gold,1350,1200,1500,247
таланты,buy,gold,2200,2000,2500,245
order of cirta [i],buy,gold,3500,1500,5000,243
древняя булава наития [iii] +3,sell,gold,3600,3600,3600,242
улучшенный акинак [ii],sell,gold,2000,1200,2500,238
зелье [ii] +2 лов. (1 ч),buy,gold,100,100,200,236
award of cirta [i],buy,gold,3500,3500,3500,235
безопасный свиток заточки [i],sell,gold,500,500,800,235
ржавая монета - ( много ),buy,gold,7,7,7,235
смертельный яд iii,sell,gold,3000,3000,10000,235
‍ внешний вид: тыквенная голова - 1шт,sell,cookie,666,90,666,234
блестящие латы,buy,gold,2000,2000,2500,233
крылья [i],sell,gold,18000,15000,20000,232
смертельный яд iii,sell,cookie,30,20,75,230
аквельский обед /шт (возможен торг),sell,gold,140,120,140,229
amulet of sea depths lll,sell,cookie,19,19,19,228
бриллиантовые серьги,sell,cookie,19,19,19,228
внешний вид: охотник на нечисть - 1шт,sell,cookie,666,666,666,228
зелье очищения камня [iv],sell,gold,130000,130000,140000,228
кольцо ареса [iv],sell,cookie,200,166,300,228
корона [i] +,sell,cookie,6170,6140,6225,228
пояс нумеадора +6.,sell,cookie,240,240,300,228
‍ внешний вид: орк-призрак - 1шт,sell,cookie,666,666,666,228
казнь iv,sell,cookie,120,105,150,226
amulet of sea depths [iii+],sell,gold,5000,4000,5000,225
крылья [i] +1,sell,gold,21000,17500,21000,221
вольфрам,sell,gold,90,75,90,219
дуб - 100шт,sell,gold,3000,28,3000,218
пыльный фрагмент оружия,sell,gold,99,99,99,214
пыльный фрагмент перчатки,sell,gold,45,45,45,214
пыльный фрагмент сапог,sell,gold,45,45,45,214
пыльный фрагмент шлема,sell,gold,45,45,45,214
пыльный фрагмент щита- 27.,sell,gold,99,99,99,214
крылья [i] +1 - (новые),sell,gold,22000,18000,22000,213
кровь,buy,gold,25,15,50,209
критическое исцеление iii,sell,cookie,30,17,30,208
сундук с подвала,sell,cookie,20,20,30,205
миледокунь -/шт,buy,gold,27,27,27,204
yatağan of skeleton [ii],sell,gold,5000,5000,5250,202
танк новые,sell,gold,5000,4500,5000,200
материал материи т/шт,buy,gold,2225,2225,3400,193
рог изобилия [i],sell,gold,20000,17000,23500,192
гоплон маржаны [iii+],sell,gold,5400,5000,5400,189
пастуший хлеб [i],buy,gold,600,370,740,188
t.rex armor of aspirations [iii] - .,buy,gold,5500,5000,6000,186
рецепт клевец пробоин [ii] - .,buy,gold,250,250,300,186
рецепт кровавая секира [ii] - .,buy,gold,250,250,300,186
рецепт массивный панцирь [ii] за .,buy,gold,400,400,400,186
рецепт прошитые ботинки [ii] - .,buy,gold,250,250,300,186
рецепт тяжелые рукавицы [ii] - .,buy,gold,250,250,300,186
рецепт улучшенный акинак [ii] - .,buy,gold,250,250,300,186
рецепт фехтовальные перчатки [ii] - .,buy,gold,300,300,300,186
рецепт шлифованное забрало [ii] - .,buy,gold,250,250,300,186
чекан маржаны [iii+],sell,gold,6500,5500,8000,185
award of cirta [i],sell,gold,6200,5000,6500,184
внешний вид: наследник севера,sell,gold,29999,24000,30000,182
материя т/шт,buy,gold,3850,2240,46000,179
крылья;,sell,gold,18000,18000,18500,174
дрангарская морковь - /шт.,buy,gold,50,45,50,172
активная защита iv - (40000з),sell,cookie,35,35,50,168
критическое исцеление iv- (40000з),sell,cookie,60,60,80,168
ледяные ботинки провидца [iii+],sell,gold,6700,4000,7500,168
провидение iv - (40000з),sell,cookie,60,60,90,168
талант - потрошитель [ивент] - /шт (100шт),sell,gold,7000,6000,7000,166
ледяное кольцо провидца [iii+],sell,gold,4800,4500,14000,165
пыльный фрагмент шлема / сапог / перчатки / щита,sell,gold,50,50,50,165
аксессуар материи lll - /шт.,buy,gold,1400,1400,1600,164
крылья [i] или 24000 з,sell,cookie,60,60,60,164
ледяная кольчуга провидца [iii+],sell,gold,7300,6600,7800,163
ледяной марион провидца [iii+],sell,gold,7300,6600,7800,163
ледяные перчатки провидца [iii+],sell,gold,6800,6000,7500,163
эликсир здоровья +100%,sell,gold,130,130,140,162
массивный панцирь [ii] - .,buy,gold,2150,2100,2500,160
‍ внешний вид: принц зимы,sell,cookie,100,90,200,160
t.rex berserker's armor [iii] +1,sell,gold,5500,5500,5500,158
зелье восстановления 100%/пинта эля - за шт.,buy,gold,110,100,130,158
пирог [iv] - 7 дней,buy,gold,4500,3500,4500,157
божественная милость ii,sell,gold,4999,3000,14999,156
последний шанс iii,sell,cookie,50,17,50,156
order of cirta [i],sell,gold,6500,6000,7500,151
амарант/титан,buy,gold,130,125,130,151
крылья [i] +5 - (торг уместен),sell,gold,25000,25000,30000,150
личный большой ремкомплект - 1шт,sell,gold,20000,16000,20000,148
потрошитель,buy,gold,2000,2000,2000,148
талант - оракул - 1шт(24 ч.),sell,gold,3500,3200,3500,148
вольфрам,buy,gold,50,50,60,146
рецепты т2,buy,gold,660,425,700,144
сила воли iv,sell,cookie,60,40,60,144
талант - блестящие латы - 2шт(24 ч.),sell,gold,3500,3200,3500,143
талант - золотая антилопа - 2шт(7 дней),sell,gold,2500,1800,4000,143
tsunami amulet [iii+],sell,gold,4000,4000,4700,142
бутерброд [iii]7д,buy,gold,2500,2500,2700,141
ремкомплект - 1шт,sell,gold,10000,7500,10000,141
фламберг маржаны [iii+] +3 (50/50),sell,gold,6000,6000,7000,141
материю т/шт,buy,gold,3025,2250,3850,140
бонус регенерации 24ч - / оптом много,buy,gold,600,600,600,137
свиток onlypve,buy,gold,2500,2500,2500,137
критическое исцеление ii,sell,gold,4999,3999,14999,136
amulet waves [iii+] +3 (60/60),sell,gold,7000,6000,7000,135
amulet waves [iii+] +5,sell,gold,10000,10000,15000,134
зелье очищения камня [iii],buy,gold,7000,5500,7000,131
клевец пурги [iii+] +3 (65/65),sell,gold,6000,6000,7000,130
аксессуар материи ll - /шт.,buy,gold,700,700,800,127
блюдо из рыбы [|],buy,gold,100,100,100,127
критическое исцеление iii,sell,gold,2999,2999,6000,127
южный перец,buy,gold,120,60,130,127
свиток кселеса (ксел),buy,gold,23333,23333,23333,126
материал материи [ii] - по за шт.,buy,gold,250,200,260,125
зелье очищения камня [iii+],buy,gold,16000,9000,18000,124
свиток заточки [iv],buy,gold,30,30,80,124
зелье очищения камня [iil] - за шт.,buy,gold,7500,6000,8000,122
зелье очищения камня [il] - за шт.,buy,gold,1400,1200,1500,122
материя [ii],buy,gold,205,70,300,122
безопасный свиток заточки [iv],buy,gold,2000,1500,2000,120
удача торговца - за шт.,buy,gold,300,300,300,118
бутерброд [iii] - 7 дней (обмен на пирог),sell,gold,3500,3500,3500,115
деликатесное мясо,sell,gold,40,40,40,115
знак кулинара - за шт.,buy,gold,1000,1000,1000,115
талант золотая антипопа,sell,gold,1000,1000,1000,115
фехтовальные перчатки [ii] - .,buy,gold,1750,1650,1900,115
order of cirta [i] - (новый),sell,gold,6500,6500,6500,114
чертеж экипировки [iii],buy,gold,5000,4500,7000,113
‍ внешний вид: принц зимы - 1шт,sell,cookie,130,130,130,112
amulet waves [iii+],sell,gold,4000,4000,4800,111
ледяное кольцо жреца [iii+] +6 (40/40),sell,gold,15000,15000,15000,111
выстрел в горло ii,sell,gold,3000,3000,5000,110
аквельский лук - 7шт,sell,gold,100,100,100,109
дрангарская морковь - 2шт,sell,gold,60,60,60,109
ремкомплект,sell,gold,9000,7500,10000,109
южный перец - 2шт,sell,gold,200,200,200,109
бутерброд [iii]7д много,buy,gold,2500,2500,2500,108
скипетр [i] +6 - (рассмотрю любые предложения),sell,cookie,400,400,400,107
bec de corbin [iii] +6 (46/46),sell,gold,20000,18000,20000,106
кованая сталь,buy,gold,7,5,10,105
ледяная удача кощара [ивент],sell,gold,1200,1000,1250,103
пирог [iv] - 24ч,buy,gold,650,650,900,103
кольцо гелиоса [iv],sell,gold,75000,72000,75000,102
сертификат смены расы,sell,gold,500,400,500,102
блюдо из мяса [i],buy,gold,80,60,130,101
мешок с ресурсами [iv],buy,gold,200,120,250,101
хитин,sell,gold,20,17,22,101
талант - закалка - 5шт(24 ч.),sell,gold,3300,3200,3500,100
талант - золотая антилопа,sell,gold,1000,850,1000,100
гладиус метели [iii+],sell,gold,4000,4000,4800,99
гоплон маржаны [iii+] +5 (42/50),sell,gold,16000,14000,16000,99
орлиный глаз оракул и другие талы,buy,gold,2200,2000,2200,99
смертельный яд iv,sell,cookie,120,60,120,99
ожерелье камней [ii] - .,buy,gold,1750,1750,2200,98
печать старца [ii] - .,buy,gold,1750,1750,2500,98
свиток заточки [ii] = за шт.,buy,gold,65,50,65,97
сет кт [iii+] новый,sell,cookie,168,168,168,97
талант - блестящие латы (24 ч.),buy,gold,2000,2000,2000,97
талант - закалка (24 ч.),buy,gold,2000,2000,2000,97
талант - оракул (24 ч.),buy,gold,2000,2000,2000,97
талант - орлиный глаз (24 ч.),buy,gold,2000,2000,2000,97
последний шанс ii,sell,gold,2000,1100,3000,96
блюдо из мяса [iii],buy,gold,250,230,400,95
блюдо из рыбы [iii],buy,gold,250,220,400,95
эссенция превосходства,buy,gold,2,2,20,95
аксессуар материи [iii] +5,sell,gold,7000,7000,7000,94
ледяное кольцо жреца [iii+] +6,sell,gold,15000,15000,15000,94
божественная милость iv,sell,cookie,80,60,80,93
crusher necklace [iii] +5 (29/46),sell,gold,15000,13000,15000,92
карма,buy,gold,100,100,120,92
салют охотника,buy,gold,500,500,600,92
талант - закалка,sell,gold,2800,2500,2900,92
крылья,sell,gold,18000,17000,19000,91
последний шанс v,sell,cookie,210,210,220,91
зелье очищения камня [iil],buy,gold,7000,7000,10000,90
‍ внешний вид: орк-призрак,sell,cookie,80,80,80,90
вампиризм iii,sell,cookie,75,25,75,89
зелье очищения камня [iv],buy,gold,100000,100000,120000,89
материя/материал материи [ii] 250/,buy,gold,225,225,225,89
бук - 100шт,buy,gold,2000,1700,2000,87
выстрел в горло iv,sell,cookie,120,100,120,87
личный ремкомплект - 3шт,sell,gold,9000,8000,10000,86
миледокунь /шт.,buy,gold,40,40,40,86
провидение iii,sell,cookie,40,40,40,86
быстрые пальцы [ii] +3,sell,gold,2800,2800,2800,85
свиток заточки [iii],buy,gold,50,50,70,85
шестопёр вьюги [iii+],sell,gold,4500,4500,4500,85
биотоковая пластина,sell,gold,7500,7000,7500,83
комплимент 50+шт,sell,gold,50,50,60,83
мраморное мясо - 21шт,sell,gold,600,500,700,83
t.rex crusher armor [iii] +6 (37/53),sell,gold,20000,18000,20000,82
амулет оракула [iv],buy,cookie,125,125,125,82
карбарась - 100шт,buy,gold,7000,6000,7000,82
кусок мяса - 100шт,buy,gold,7000,6000,7000,82
момент лотерею / шт.,buy,gold,525,525,600,82
‍ внешний вид: воины севера - (или обмен на образ любой человека),sell,cookie,60,60,60,82
безопасный свиток заточки т3,sell,gold,1300,1300,1300,81
рецепты т3 ожерелий,buy,gold,260,200,300,81
удочка подмастерья [ii],sell,gold,250,220,350,81
tooth rim of skeleton [ii] +2 - .,buy,gold,5000,5000,6000,80
пропитанный дуб - 51шт,sell,gold,120,100,120,80
лук подмастерья [ii],sell,gold,350,350,450,79
чертеж экипировки [|||] -/шт,buy,gold,7000,7000,7000,79
sharp sword [iii] +5,sell,gold,19000,18000,20000,78
t.rex crusher armor [iii] +5,sell,gold,14000,13000,18000,78
зелье [i] +1 инт. (1 ч),buy,gold,135,110,150,78
amulet of sea depths [iii+] +3,sell,gold,7200,7200,7200,77
зелье [ii] +2 вын. (1 ч),buy,gold,120,110,200,76
зелье [ii] +2 сил. (1 ч),buy,gold,120,110,200,76
crusher armor [iii] +7,sell,gold,30000,30000,30000,75
последний шанс iii,sell,gold,3999,2000,5000,75
зелье [i] +1 вын. (1 ч),buy,gold,120,110,150,74
зелье [i] +1 сил. (1 ч),buy,gold,120,110,150,74
кольцо гелиоса [iv],sell,cookie,200,150,200,74
обожженный дуб - 66шт,sell,gold,99,99,99,74
чистый хитин - 27шт,sell,gold,99,99,99,74
crusher armor [iii] +7 (10/41),sell,gold,27000,24000,30000,73
крылья [i] +5,sell,gold,25000,19000,30000,73
ремкомплект по (не личная),buy,gold,5500,5500,5500,73
crusher boots [iii] +5 (20/48),sell,gold,15000,13000,15000,72
парные кинжалы метели [iii+] +4,sell,gold,8000,7500,8000,72
рецепт [iii]: древний щит из стали -/шт.,buy,gold,300,300,400,72
рецепт [iii]: древний щит крови -/шт.,buy,gold,300,300,400,72
сосна,sell,gold,14,14,22,72
эссенция маржаны-/шт,buy,gold,200,150,200,72
бриллиантовые серьги [i] (на опыт),sell,gold,800,750,800,71
гладиус метели [iii+] +4,sell,gold,8000,7500,8000,71
инкрустированный пояс [i] (на дроп ),sell,gold,3500,3500,3600,71
кольцо баала [iv],sell,cookie,180,180,180,71
t.rex saboteur's armor [iii],sell,gold,7500,5500,7500,70
безы т3 / свитки безопастной заточки т/шт,buy,gold,3800,3800,3800,70
инкрустированный пояс [i],buy,gold,1500,1500,1500,70
последний шанс ii - 1шт 1.,sell,gold,500,500,500,70
последний шанс iii - 1шт 3.,sell,gold,500,500,500,70
вампиризм ii,sell,gold,19999,14999,19999,69
котомка с золотом (250),sell,gold,500,450,600,69
лук пм -/шт,sell,gold,350,350,350,69
любые рецепты т2 по за шт.,buy,gold,350,300,450,69
острый лечо [i],buy,gold,350,350,700,69
перец,buy,gold,130,60,130,69
свиток заточки [iii] - 50+,sell,gold,100,100,120,69
талант - потрошитель [ивент] - - 10шт,sell,gold,5000,5000,7000,69
лук м -/шт,sell,gold,1700,1700,1700,68
материя: [iii+],buy,gold,2200,1000,2200,68
amulet of sea depths [iii+] +5,sell,gold,10000,10000,15000,67
скорость iii,sell,gold,5000,1500,5000,67
талант - потрошитель [ивент],sell,cookie,15,15,40,67
моментальная лотерея,sell,gold,750,500,750,66
скипетр [i] - /120к,buy,cookie,300,300,300,66
аквельский обед [i],buy,gold,90,90,120,65
карбарась - /шт.,buy,gold,30,30,30,65
кельт вьюги [iii+],sell,gold,4000,4000,4000,65
материя [ii] - по за шт.,buy,gold,260,250,300,65
воодушевление iv - 1шт (40000з),sell,cookie,80,80,80,64
крылья [i] или 25000 з,sell,cookie,60,60,60,64
талант - блестящие латы - 3шт,sell,gold,3000,2900,3400,64
талант - орлиный глаз - 4шт,sell,gold,3000,2900,3400,64
удочка пм -/шт,sell,gold,200,190,200,64
баллок и басселард пурги [iii+],sell,gold,5500,4200,7000,63
блюдо из рыбы [i],buy,gold,80,60,110,63
мотыга подмастерья пм,sell,gold,250,250,250,63
сет кт т3+ новый с заточкой +3,sell,gold,66000,66000,66000,63
материя [iv],sell,gold,8000,7500,8000,62
рог изобилия [i] +6,sell,gold,35000,30000,35000,62
талант - блестящие латы,buy,gold,2000,2000,2500,62
талант - закалка,buy,gold,2000,2000,2500,62
талант - оракул,buy,gold,2000,2000,2700,62
талант - орлиный глаз,buy,gold,2000,2000,2700,62
талант - потрошитель,sell,gold,5000,3000,5000,62
древний щит из стали [iii] - .,buy,gold,2000,1550,2100,61
активная защита iv - 2шт (40000з),sell,cookie,80,80,80,60
бонус регенерации 24ч,sell,gold,950,825,950,60
комплимент,sell,gold,50,40,55,60
критическое исцеление iv - 3шт (40000з),sell,cookie,80,80,80,60
мешок гринча [ивент] [i],sell,cookie,1000,1000,1000,60
морковь,buy,gold,60,30,70,60
провидение iv - 2шт (40000з),sell,cookie,90,90,90,60
чеснок,buy,gold,100,40,100,60
божественная милость iii,sell,gold,5000,5000,5000,59
знание (любое),buy,gold,30,30,30,59
кольцо аида [iv],sell,cookie,180,150,180,59
graceful armor [iii] +4 (47/47),sell,gold,10000,8000,10000,58
tsunami amulet [iii+] +5,sell,gold,10500,10000,15000,58
безопасный свиток заточки [ii] = за шт.,buy,gold,500,500,565,58
бонус регенерации 24ч,buy,gold,700,700,700,58
бонус регенерации 24ч 7шт,sell,gold,950,950,950,58
гладиус метели [iii+] (50/50),sell,gold,5000,4000,6000,58
зелье очищения камня [iv] /140к,sell,cookie,360,360,360,58
инкрустированный пояс [i] +1 (52/58),sell,gold,3500,3500,4000,58
клевец пурги [iii+] (65/65),sell,gold,5000,4000,6000,58
ледяное кольцо провидца [iii+] +3 (40/40),sell,gold,8500,7500,8500,58
личный свиток кселеса 4 шт - т3 38/,sell,cookie,48,48,48,58
материя тшт,buy,gold,3750,2300,3949,58
павеза пурги [iii+] (65/65),sell,gold,5500,5500,5500,58
парные саи пурги [iii+] +1,sell,gold,4000,4000,6000,58
парные саи пурги [iii+] +5,sell,gold,10500,10000,15000,58
секира пурги [iii+] +2 (65/65),sell,gold,6500,6500,6500,58
секира пурги [iii+] +4 (65/65),sell,gold,8000,7000,8000,58
удочка пм - .,buy,gold,220,220,220,58
воодушевление v,sell,cookie,200,150,250,57
загнал вьюги +,sell,gold,514999,513999,516999,57
кованая сталь,sell,gold,20,16,20,57
кровавая секира [ii] +5 (15/65),sell,gold,3700,3500,4000,57
чесночная похлёбка,buy,gold,350,350,410,57
bec de corbin [iii] +5,sell,gold,10000,10000,10000,56
t.rex armor of aspirations [iii] +5,sell,gold,10000,10000,10000,56
внешний вид наследник севера,sell,cookie,85,80,90,56
инкрустированный пояс [i] +,sell,gold,14000,14000,14000,56
мотыга подмастерья [ii],sell,gold,250,250,250,56
свиток удачи,buy,gold,200,200,200,56
сертификат смены расы - 1шт,sell,gold,600,220,600,56
"amulet of sea depths [iii+] - 4,",buy,gold,500,500,500,55
award of cirta [i] - (новый),sell,gold,6500,6500,6500,55
знак кулинара - 4шт,sell,gold,4000,3000,5000,55
кольцо торквемады [iv],sell,cookie,180,150,180,55
крылья [i],buy,gold,9000,9000,14000,55
сет су т,sell,cookie,3250,3225,3250,55
award of cirta [i] / order of cirta [i],buy,gold,3000,3000,3000,54
cвиток заточки [ii],buy,gold,30,30,30,54
cвиток заточки [iii],buy,gold,66,66,66,54
helmet of aspirations [iii],buy,gold,4500,4500,4500,54
necklace of aspirations [iii],buy,gold,4500,4500,4500,54
sandals of aspirations [iii],buy,gold,4500,4500,4500,54
skeleton armor [ii],buy,gold,4000,4000,4000,54
trinity of aspirations [iii],buy,gold,4500,4500,4500,54
донат,buy,gold,1000,1000,1000,54
зелье [i] любое,buy,gold,80,80,80,54
зелье [ii] любое,buy,gold,90,90,90,54
крафт,buy,gold,500,500,500,54
луковый суп,buy,gold,350,350,350,54
мраморное мясо,buy,gold,350,320,520,54
рекомплект,buy,gold,5000,5000,5000,54
талант - золотая антилопа,buy,gold,600,600,600,54
удача торговца =,buy,gold,300,300,300,54
улучшенный акинак [ii] - .,buy,gold,1800,1750,1850,54
хитин - .,buy,gold,15,15,15,54
чертеж наемника [ii],buy,gold,2600,2600,3000,54
эликсир здоровья +100%,buy,gold,110,110,110,54
бриллиантовые серьги;,sell,gold,800,700,800,53
инкрустированный пояс;,sell,gold,3700,3500,4000,53
материя [iv] - 3шт,sell,gold,7500,7000,7500,53
активная защита iii,sell,gold,3000,3000,9900,52
парные рондели метели [iii+] (65/65),sell,gold,6000,5000,7000,52
талант - закалка -/шт,sell,gold,2700,2600,2750,52
безопасный свиток заточки [ii],sell,gold,800,780,850,51
ожерелье торквемады +5,sell,cookie,1500,1500,1500,51
праздничный салют - 4шт,sell,gold,500,500,500,51
разрывная стрела i(111) - 1шт,sell,gold,400,400,450,51
аксессуар материи,buy,gold,550,550,550,50
кости,buy,gold,20,5,20,50
материал материи [iv],sell,gold,5000,4500,5000,50
материя/материал материи [ii] 300/,buy,gold,275,275,275,50
рецепт изящный доспех (ii),buy,gold,300,300,300,50
рецепт кровавая секира (ii),buy,gold,350,350,350,50
рецепт крушитель (ii),buy,gold,280,280,280,50
рецепт тяжелая кольчуга (ii),buy,gold,330,330,330,50
с заточка +3 +,buy,gold,200,200,200,50
с заточкой +3 +,buy,gold,100,100,100,50
свиток заточки [ii],buy,gold,46,25,70,50
скипетр [i] +,sell,cookie,6400,6400,6400,50
талант - оракул,sell,gold,2800,2500,2900,50
